Rank	Male name	Female name
1	Liam	Olivia
2	Noah	Emma
3	Oliver	Charlotte
4	James	Amelia
5	Elijah	Sophia
6	William	Isabella
7	Henry	Ava
8	Lucas	Mia
9	Benjamin	Evelyn
10	Theodore	Luna
11	Mateo	Harper
12	Levi	Camila
13	Sebastian	Sofia
14	Daniel	Scarlett
15	Jack	Elizabeth
16	Michael	Eleanor
17	Alexander	Emily
18	Owen	Mila
19	Samuel	Chloe
20	Asher	Violet
21	Ethan	Penelope
22	Leo	Gianna
23	Jackson	Aria
24	Mason	Abigail
25	Ezra	Ella
26	John	Avery
27	Hudson	Hazel
28	Luca	Nora
29	Aiden	Layla
30	Joseph	Lily
31	David	Aurora
32	Jacob	Nova
33	Logan	Ellie
34	Luke	Madison
35	Julian	Grace
36	Gabriel	Isla
37	Grayson	Willow
38	Wyatt	Zoe
39	Matthew	Riley
40	Maverick	Stella
41	Isaac	Ivy
42	Dylan	Eliana
43	Elias	Victoria
44	Anthony	Emilia
45	Thomas	Zoey
46	Jayden	Naomi
47	Carter	Hannah
48	Ezekiel	Lucy
49	Santiago	Elena
50	Charles	Lillian
51	Josiah	Maya
52	Caleb	Leah
53	Cooper	Paisley
54	Lincoln	Addison
55	Christopher	Natalie
56	Miles	Everly
57	Nathan	Valentina
58	Isaiah	Delilah
59	Kai	Leilani
60	Joshua	Madelyn
61	Andrew	Kinsley
62	Angel	Ruby
63	Adrian	Sophie
64	Cameron	Alice
65	Nolan	Genesis
66	Waylon	Claire
67	Jaxon	Audrey
68	Roman	Sadie
69	Eli	Aaliyah
70	Wesley	Josephine
71	Aaron	Autumn
72	Ian	Brooklyn
73	Christian	Quinn
74	Ryan	Kennedy
75	Leonardo	Cora
76	Brooks	Savannah
77	Axel	Caroline
78	Walker	Athena
79	Jonathan	Natalia
80	Easton	Hailey
81	Everett	Aubrey
82	Weston	Emery
83	Bennett	Anna
84	Robert	Iris
85	Jameson	Bella
86	Jose	Eloise
87	Landon	Skylar
88	Silas	Jade
89	Micah	Gabriella
90	Beau	Ariana
91	Colton	Maria
92	Jordan	Adeline
93	Jeremiah	Lydia
94	Parker	Serenity
95	Greyson	Sarah
96	Rowan	Nevaeh
97	Nicholas	Liliana
98	Theo	Ayla
99	Adam	Raelynn
100	Xavier	Everleigh
101	Hunter	Allison
102	Dominic	Madeline
103	Jace	Maeve
104	Gael	Vivian
105	River	Lyla
106	Kayden	Samantha
107	Damian	Rylee
108	Thiago	Eva
109	August	Melody
110	Carson	Clara
111	Austin	Julia
112	Myles	Hadley
113	Amir	Juniper
114	Declan	Piper
115	Emmett	Parker
116	Ryder	Eden
117	Luka	Brielle
118	Connor	Remi
119	Jaxson	Rose
120	Milo	Josie
121	Enzo	Eliza
122	Giovanni	Arya
123	Vincent	Charlie
124	Diego	Daisy
125	Luis	Peyton
126	Archer	Lucia
127	Harrison	Margaret
128	Jasper	Millie
129	Kingston	Freya
130	Atlas	Melanie
131	Sawyer	Elliana
132	Legend	Alina
