Rank	Male name	Female name
1	Liam	Olivia
2	Noah	Emma
3	Oliver	Charlotte
4	Elijah	Amelia
5	James	Ava
6	William	Sophia
7	Benjamin	Isabella
8	Lucas	Mia
9	Henry	Evelyn
10	Theodore	Harper
11	Jack	Luna
12	Levi	Camila
13	Alexander	Gianna
14	Jackson	Elizabeth
15	Mateo	Eleanor
16	Daniel	Ella
17	Michael	Abigail
18	Mason	Sofia
19	Sebastian	Avery
20	Ethan	Scarlett
21	Logan	Emily
22	Owen	Aria
23	Samuel	Penelope
24	Jacob	Layla
25	Asher	Chloe
26	Aiden	Mila
27	John	Nora
28	Joseph	Hazel
29	Wyatt	Madison
30	David	Ellie
31	Leo	Lily
32	Luke	Nova
33	Julian	Grace
34	Hudson	Isla
35	Grayson	Aurora
36	Matthew	Violet
37	Ezra	Riley
38	Gabriel	Zoey
39	Carter	Willow
40	Isaac	Emilia
41	Jayden	Stella
42	Luca	Zoe
43	Anthony	Victoria
44	Dylan	Hannah
45	Lincoln	Addison
46	Thomas	Leah
47	Maverick	Eliana
48	Elias	Lucy
49	Josiah	Ivy
50	Charles	Everly
51	Caleb	Lillian
52	Christopher	Paisley
53	Ezekiel	Elena
54	Jaxon	Naomi
55	Miles	Maya
56	Isaiah	Natalie
57	Andrew	Kinsley
58	Joshua	Delilah
59	Nathan	Claire
60	Nolan	Audrey
61	Adrian	Aaliyah
62	Cameron	Ruby
63	Santiago	Brooklyn
64	Eli	Aubrey
65	Aaron	Alice
66	Ryan	Autumn
67	Angel	Leilani
68	Cooper	Savannah
69	Waylon	Valentina
70	Kai	Kennedy
71	Christian	Madelyn
72	Easton	Josephine
73	Landon	Bella
74	Roman	Skylar
75	Colton	Genesis
76	Axel	Sophie
77	Jonathan	Hailey
78	Brooks	Sadie
79	Robert	Natalia
80	Jameson	Caroline
81	Ian	Quinn
82	Everett	Allison
83	Jeremiah	Gabriella
84	Greyson	Serenity
85	Wesley	Anna
86	Hunter	Nevaeh
87	Leonardo	Cora
88	Jordan	Ariana
89	Jose	Lydia
90	Bennett	Emery
91	Silas	Sarah
92	Nicholas	Jade
93	Parker	Eva
94	Beau	Adeline
95	Weston	Madeline
96	Austin	Piper
97	Carson	Athena
98	Connor	Rylee
99	Dominic	Everleigh
100	Xavier	Peyton
101	Jace	Clara
102	Jaxson	Vivian
103	Emmett	Raelynn
104	Adam	Liliana
105	Rowan	Maria
106	Declan	Samantha
107	Micah	Ayla
108	Kayden	Iris
109	Gael	Eloise
110	River	Lyla
111	Ryder	Eliza
112	Kingston	Hadley
113	Damian	Melody
114	Sawyer	Julia
115	Luka	Parker
116	Evan	Rose
117	Vincent	Isabelle
118	Legend	Brielle
119	Myles	Adalynn
120	August	Arya
121	Harrison	Eden
122	Bryson	Remi
123	Amir	Mackenzie
124	Giovanni	Maeve
125	Chase	Margaret
126	Diego	Reagan
127	Milo	Charlie
128	Jasper	Alaia
129	Jason	Melanie
130	Walker	Josie
131	Brayden	Elliana
132	Cole	Mary
